Nx Ny Nh g path_to_PH
28 51 1.49921e-05 4.59793e-05 4.59793e-05
28 52 -0.000179531 -0.000318233 -0.000318233
28 53 3.27898e-05 6.13658e-05 6.13658e-05
28 54 -0.000544058 -0.00106311 -0.00106311
28 55 6.9028e-05 0.000121899 0.000121899
28 56 0.000236923 0.000458307 0.000458307
28 57 1.92925e-05 2.2394e-05 2.2394e-05
28 58 -9.7137e-05 -0.00019213 -0.00019213
28 59 0.000188577 0.000357728 0.000357728
28 60 -6.4398e-05 -0.000136681 -0.000136681
28 61 8.64557e-05 0.000143916 0.000143916
28 62 0.000232388 0.000444812 0.000444812
28 63 1.10709e-05 -1.81827e-06 -1.81827e-06
28 64 -2.37644e-05 -6.95265e-05 -6.95265e-05
28 65 0.000260151 0.000501272 0.000501272
28 66 0.000125616 0.000227286 0.000227286
28 67 2.9457e-05 4.53253e-05 4.53253e-05
28 68 9.58704e-05 0.000177211 0.000177211
28 69 1.76905e-05 2.5802e-05 2.5802e-05
28 70 6.2139e-05 0.000106421 0.000106421
28 71 0.00011426 0.000221372 0.000221372
28 72 0.00011791 0.000214376 0.000214376
29 1 -0.00129051 -0.00257389 -0.00257389
29 2 -0.0014163 -0.00283159 -0.00283159
29 3 -0.00144325 -0.00288157 -0.00288157
29 4 -1.96533e-05 -3.65805e-05 -3.65805e-05
29 5 -0.000245275 -0.000488752 -0.000488752
29 6 -2.71931e-05 -5.19745e-05 -5.19745e-05
29 7 -0.00156456 -0.00311434 -0.00311434
29 8 -0.00376154 -0.0075176 -0.0075176
29 9 -0.00176866 -0.00352667 -0.00352667
29 10 -0.000445624 -0.000880453 -0.000880453
29 11 -0.00233515 -0.00466431 -0.00466431
29 12 -0.000518677 -0.00102823 -0.00102823
29 13 -0.000844226 -0.00167752 -0.00167752
29 14 -0.00259859 -0.0051895 -0.0051895
29 15 -0.000848279 -0.00168893 -0.00168893
29 16 -0.0019253 -0.0038373 -0.0038373
29 17 -0.00574029 -0.0114758 -0.0114758
29 18 -0.0021505 -0.00429089 -0.00429089
29 19 -0.000360601 -0.000724294 -0.000724294
29 20 -0.000247354 -0.000490678 -0.000490678
29 21 -8.17403e-05 -0.000166726 -0.000166726
29 22 -0.00355309 -0.00710203 -0.00710203
29 23 -0.00508735 -0.0101752 -0.0101752
29 24 -0.00390307 -0.00780546 -0.00780546
29 25 -0.000385537 -0.000786225 -0.000786225
29 26 0.000837367 0.0016726 0.0016726
29 27 -9.62359e-06 -3.32477e-05 -3.32477e-05
29 28 -0.00276533 -0.00553904 -0.00553904
29 29 0.063089 0.118585 0.133771
29 30 -0.00311033 -0.00623055 -0.00623055
29 31 5.48385e-05 9.63269e-05 9.63269e-05
29 32 0.000881389 0.00175711 0.00175711
29 33 0.000185371 0.00035705 0.00035705
29 34 -0.00251858 -0.00505172 -0.00505172
29 35 -0.00409552 -0.00819422 -0.00819422
29 36 -0.00281992 -0.00565418 -0.00565418
29 37 0.000162684 0.000329187 0.000329187
29 38 0.000551761 0.00110158 0.00110158
29 39 7.62444e-05 0.000151704 0.000151704
29 40 -0.00216915 -0.00434693 -0.00434693
29 41 -0.0026659 -0.00533741 -0.00533741
29 42 -0.0022445 -0.00449719 -0.00449719
29 43 -0.000527371 -0.00103729 -0.00103729
29 44 -0.000575946 -0.0011536 -0.0011536
29 45 -0.000457831 -0.000906146 -0.000906146
29 46 -0.00057136 -0.0011362 -0.0011362
29 47 -0.000411536 -0.000826878 -0.000826878
29 48 -0.000492952 -0.000981703 -0.000981703
29 49 -0.00061768 -0.00120576 -0.00120576
29 50 -0.000860549 -0.00172023 -0.00172023
29 51 -0.000332013 -0.000641779 -0.000641779
29 52 -0.000206952 -0.000389932 -0.000389932
29 53 5.51033e-05 0.000117072 0.000117072
29 54 -0.000209696 -0.000401879 -0.000401879
29 55 -0.00013709 -0.000250206 -0.000250206
29 56 6.54941e-05 0.000138101 0.000138101
29 57 8.38457e-05 0.000186137 0.000186137
29 58 -0.000184571 -0.000337727 -0.000337727
29 59 0.000246784 0.000500003 0.000500003
29 60 -0.000173111 -0.000323623 -0.000323623
29 61 -7.88272e-05 -0.000147882 -0.000147882
29 62 0.000379791 0.00076222 0.00076222
29 63 -6.3781e-05 -0.000121002 -0.000121002
29 64 -0.00011226 -0.00020625 -0.00020625
29 65 0.000370395 0.000739925 0.000739925
29 66 5.89957e-05 0.000128981 0.000128981
29 67 -5.89888e-05 -0.000117068 -0.000117068
29 68 3.28035e-05 6.3983e-05 6.3983e-05
29 69 -8.33324e-05 -0.000166643 -0.000166643
29 70 -6.88162e-05 -0.000133499 -0.000133499
29 71 0.00015814 0.000313795 0.000313795
29 72 9.93437e-05 0.00019925 0.00019925
30 1 -0.000128323 -0.000245678 -0.000245678
30 2 -0.00122985 -0.00245567 -0.00245567
30 3 -0.00288788 -0.0057643 -0.0057643
30 4 -0.000721354 -0.00143579 -0.00143579
30 5 -7.48273e-05 -0.000143336 -0.000143336
30 6 0.00016354 0.000331892 0.000331892
30 7 -0.000588525 -0.00116049 -0.00116049
30 8 -0.00227781 -0.00454565 -0.00454565
30 9 -0.00219458 -0.00436899 -0.00436899
30 10 -0.001161 -0.00230268 -0.00230268
30 11 -0.00135665 -0.00270309 -0.00270309
30 12 -0.000429628 -0.000845132 -0.000845132
30 13 -0.00307817 -0.0061459 -0.0061459
30 14 -0.000720891 -0.00143298 -0.00143298
30 15 -0.000154493 -0.000294488 -0.000294488
30 16 -0.000427649 -0.000836815 -0.000836815
30 17 -0.00470868 -0.00941201 -0.00941201
30 18 -0.00441271 -0.00880859 -0.00880859
30 19 -0.00275387 -0.00551228 -0.00551228
30 20 -0.000497526 -0.000995434 -0.000995434
30 21 -8.10165e-05 -0.000164558 -0.000164558
30 22 -0.00143044 -0.00286059 -0.00286059
30 23 -0.00415092 -0.00830959 -0.00830959
30 24 -0.00580746 -0.0116065 -0.0116065
30 25 -0.0019754 -0.00395932 -0.00395932
30 26 -0.000324319 -0.000658555 -0.000658555
30 27 0.000273275 0.000542087 0.000542087
30 28 -0.00166155 -0.00333903 -0.00333903
30 29 -0.00311033 -0.00623055 -0.00623055
30 30 0.0613101 0.124644 0.120596
30 31 -0.00138962 -0.00278106 -0.00278106
30 32 0.000314718 0.000622908 0.000622908
30 33 0.000354266 0.000720638 0.000720638
30 34 -0.000332258 -0.000671317 -0.000671317
30 35 -0.00192455 -0.00385141 -0.00385141
30 36 -0.0034766 -0.00695024 -0.00695024
30 37 -0.000457676 -0.000900449 -0.000900449
30 38 9.46567e-05 0.000190935 0.000190935
30 39 -0.000787489 -0.00154828 -0.00154828
30 40 0.000104529 0.000229959 0.000229959
30 41 -0.000433089 -0.00085887 -0.00085887
30 42 -0.00212624 -0.00424561 -0.00424561
30 43 -0.000157901 -0.000281352 -0.000281352
30 44 -0.000457268 -0.000905011 -0.000905011
30 45 -0.00103746 -0.00204913 -0.00204913
30 46 -0.000567943 -0.00109922 -0.00109922
30 47 -0.000150158 -0.000290654 -0.000290654
30 48 -0.000559813 -0.00109962 -0.00109962
30 49 -2.83933e-05 -3.28827e-05 -3.28827e-05
30 50 -0.000123035 -0.00023842 -0.00023842
30 51 -0.000213272 -0.00041833 -0.00041833
30 52 -0.00057168 -0.0011146 -0.0011146
30 53 -3.1974e-06 -7.82114e-06 -7.82114e-06
30 54 -0.000137432 -0.000250624 -0.000250624
30 55 -5.55469e-05 -0.000115969 -0.000115969
30 56 0.000318631 0.000629716 0.000629716
30 57 0.000186487 0.000365106 0.000365106
30 58 -0.000130028 -0.000256312 -0.000256312
30 59 0.000199214 0.000386468 0.000386468
30 60 -2.00502e-05 -3.65928e-05 -3.65928e-05
30 61 -5.46497e-05 -0.000125682 -0.000125682
30 62 0.000213564 0.000414013 0.000414013
30 63 0.000103968 0.000192217 0.000192217
30 64 5.07561e-05 8.6824e-05 8.6824e-05
30 65 0.000319299 0.00062424 0.00062424
30 66 9.15045e-05 0.000172244 0.000172244
30 67 -1.41317e-06 -1.02379e-05 -1.02379e-05
30 68 5.59221e-05 0.000101828 0.000101828
30 69 2.66152e-05 4.53647e-05 4.53647e-05
30 70 8.55161e-05 0.00015437 0.00015437
30 71 0.000143424 0.000280811 0.000280811
30 72 0.000144759 0.00027962 0.00027962
31 1 -0.00080764 -0.0015927 -0.0015927
31 2 -0.000215293 -0.000432723 -0.000432723
31 3 -0.00013198 -0.000250294 -0.000250294
31 4 -2.21421e-05 -3.40349e-05 -3.40349e-05
31 5 -1.27182e-05 -2.55606e-05 -2.55606e-05
31 6 -0.00020844 -0.000412012 -0.000412012
31 7 -0.0010484 -0.00203621 -0.00203621
31 8 -0.000487298 -0.000968523 -0.000968523
31 9 -0.000846962 -0.00165635 -0.00165635
31 10 -0.000740063 -0.00143844 -0.00143844
31 11 -0.000746961 -0.00148275 -0.00148275
31 12 -0.000535541 -0.00104074 -0.00104074
31 13 -0.00104455 -0.00202974 -0.00202974
31 14 -0.000461818 -0.000909218 -0.000909218
31 15 -0.00141304 -0.00278068 -0.00278068
31 16 -0.00246347 -0.00486138 -0.00486138
31 17 -0.00137125 -0.00272659 -0.00272659
31 18 -0.000640409 -0.00123457 -0.00123457
31 19 -0.00194095 -0.00385719 -0.00385719
31 20 -0.000467363 -0.000928938 -0.000928938
31 21 -0.000202275 -0.000382875 -0.000382875
31 22 -0.00207637 -0.00409601 -0.00409601
31 23 -5.45728e-05 -0.000108784 -0.000108784
31 24 -0.00056685 -0.00110635 -0.00110635
31 25 -0.00363368 -0.00726422 -0.00726422
31 26 -0.00163736 -0.00328609 -0.00328609
31 27 -0.000284516 -0.000575403 -0.000575403
31 28 0.000291574 0.00060406 0.00060406
31 29 5.48385e-05 9.63269e-05 9.63269e-05
31 30 -0.00138962 -0.00278106 -0.00278106
31 31 0.0618384 0.111245 0.136108
31 32 -0.00304212 -0.00609748 -0.00609748
31 33 -0.0015924 -0.00320227 -0.00320227
31 34 0.000167075 0.000329639 0.000329639
31 35 -0.00130896 -0.00263314 -0.00263314
31 36 -0.00267558 -0.00536208 -0.00536208
31 37 -0.00447444 -0.00894531 -0.00894531
31 38 -0.00345152 -0.00691453 -0.00691453
31 39 -0.000506855 -0.00101841 -0.00101841
31 40 9.2127e-06 1.28303e-05 1.28303e-05
31 41 -0.000431929 -0.00087261 -0.00087261
31 42 -0.00320016 -0.00641021 -0.00641021
31 43 -0.00211919 -0.00422262 -0.00422262
31 44 -0.00216873 -0.00434623 -0.00434623
31 45 0.000102847 0.000226665 0.000226665
31 46 0.000633174 0.00128582 0.00128582
31 47 0.000226999 0.000452464 0.000452464
31 48 -0.00211119 -0.00422454 -0.00422454
31 49 -0.000498181 -0.000950209 -0.000950209
31 50 -0.000179675 -0.000359961 -0.000359961
31 51 -0.00160062 -0.00315939 -0.00315939
31 52 -0.00168239 -0.00331365 -0.00331365
31 53 -0.00126125 -0.00251453 -0.00251453
31 54 -0.000281721 -0.000547428 -0.000547428
31 55 -0.000689074 -0.00131376 -0.00131376
31 56 -0.000230172 -0.000453595 -0.000453595
31 57 -0.00127015 -0.00250329 -0.00250329
31 58 -0.00306286 -0.00606013 -0.00606013
31 59 -0.00092872 -0.00185125 -0.00185125
31 60 -0.000436309 -0.000832756 -0.000832756
31 61 -0.00127712 -0.00251308 -0.00251308
31 62 -0.000268654 -0.000532932 -0.000532932
31 63 -0.000146548 -0.000276384 -0.000276384
31 64 -0.00102666 -0.00200775 -0.00200775
31 65 3.66591e-05 6.90483e-05 6.90483e-05
31 66 -0.000547195 -0.00105671 -0.00105671
31 67 -0.000642536 -0.00127828 -0.00127828
31 68 -0.0004602 -0.000925173 -0.000925173
31 69 -9.6803e-06 -1.81667e-05 -1.81667e-05
31 70 5.32936e-05 0.000120245 0.000120245
31 71 3.94507e-05 7.2759e-05 7.2759e-05
31 72 -0.000634944 -0.00126119 -0.00126119
32 1 -0.000270928 -0.000532038 -0.000532038
32 2 -0.000287024 -0.00057342 -0.00057342
32 3 -0.000309983 -0.000612212 -0.000612212
32 4 -0.000198523 -0.00039246 -0.00039246
32 5 -0.00106504 -0.00212887 -0.00212887
32 6 -0.000202465 -0.000402474 -0.000402474
32 7 -0.000834895 -0.00164677 -0.00164677
32 8 -0.0011049 -0.00220408 -0.00220408
32 9 -0.000872756 -0.00172861 -0.00172861
32 10 -0.00100822 -0.00199808 -0.00199808
32 11 -0.00265286 -0.00529768 -0.00529768
32 12 -0.00106321 -0.00211375 -0.00211375
32 13 -0.00146176 -0.00290302 -0.00290302
32 14 -0.00216119 -0.00431495 -0.00431495
32 15 -0.00151606 -0.00301819 -0.00301819
32 16 -0.00146218 -0.00289888 -0.00289888
32 17 -0.0022977 -0.00458535 -0.00458535
32 18 -0.00155777 -0.00309702 -0.00309702
32 19 -0.00214817 -0.00429273 -0.00429273
32 20 -0.00354279 -0.00708333 -0.00708333
32 21 -0.00234289 -0.00468631 -0.00468631
32 22 -0.000563541 -0.00111153 -0.00111153
32 23 0.000104299 0.000211239 0.000211239
32 24 -0.000540685 -0.00107097 -0.00107097
32 25 -0.00260595 -0.00522188 -0.00522188
32 26 -0.00391981 -0.0078423 -0.0078423
32 27 -0.00287526 -0.00576158 -0.00576158
32 28 7.42879e-05 0.000144027 0.000144027
32 29 0.000881389 0.00175711 0.00175711
32 30 0.000314718 0.000622908 0.000622908
32 31 -0.00304212 -0.00609748 -0.00609748
32 32 0.0623534 0.115836 0.133578
32 33 -0.00324958 -0.00651234 -0.00651234
32 34 -0.000674852 -0.001366 -0.001366
32 35 0.00045156 0.000897681 0.000897681
32 36 -0.000403915 -0.000823702 -0.000823702
32 37 -0.00264432 -0.00529334 -0.00529334
32 38 -0.00467348 -0.00935001 -0.00935001
32 39 -0.00263134 -0.00526836 -0.00526836
32 40 -0.00043303 -0.000874942 -0.000874942
32 41 0.000404386 0.000808286 0.000808286
32 42 -0.000411672 -0.000832978 -0.000832978
32 43 -0.000501713 -0.000993227 -0.000993227
32 44 -0.00266559 -0.00533667 -0.00533667
32 45 -0.000433778 -0.000859807 -0.000859807
32 46 6.98005e-05 0.000146917 0.000146917
32 47 -0.000664685 -0.00133006 -0.00133006
32 48 1.5351e-05 3.18596e-05 3.18596e-05
32 49 -0.000312966 -0.000598569 -0.000598569
32 50 -0.000171149 -0.000342292 -0.000342292
32 51 -0.000298059 -0.000574795 -0.000574795
32 52 -0.000908808 -0.00179407 -0.00179407
32 53 -0.00153293 -0.0030608 -0.0030608
32 54 -0.000731486 -0.00144974 -0.00144974
32 55 -0.000276552 -0.00052462 -0.00052462
32 56 0.000165085 0.000336669 0.000336669
32 57 -0.000171608 -0.000324169 -0.000324169
32 58 -0.0010863 -0.0021408 -0.0021408
32 59 -0.000351653 -0.000698031 -0.000698031
32 60 -0.000786664 -0.00155096 -0.00155096
32 61 -0.000413061 -0.000810426 -0.000810426
32 62 6.28847e-05 0.000129081 0.000129081
32 63 -0.00019222 -0.000376606 -0.000376606
32 64 -0.000214994 -0.000409229 -0.000409229
32 65 0.000303938 0.000606923 0.000606923
32 66 -7.35406e-05 -0.000132336 -0.000132336
32 67 -0.000249808 -0.000496851 -0.000496851
32 68 -0.000245772 -0.000492999 -0.000492999
32 69 -0.000152011 -0.000303693 -0.000303693
32 70 -0.000108594 -0.000211226 -0.000211226
32 71 5.806e-05 0.000113763 0.000113763
32 72 -0.000119853 -0.000236569 -0.000236569
33 1 -0.000160674 -0.000304365 -0.000304365
33 2 -0.000236651 -0.000474654 -0.000474654
33 3 -0.000810523 -0.00160697 -0.00160697
33 4 -0.000224666 -0.000442035 -0.000442035
33 5 1.51901e-05 2.96941e-05 2.96941e-05
33 6 1.49552e-05 3.49883e-05 3.49883e-05
33 7 -0.0009097 -0.00177687 -0.00177687
33 8 -0.000519178 -0.00103396 -0.00103396
33 9 -0.00100109 -0.00196328 -0.00196328
33 10 -0.000586793 -0.00113797 -0.00113797
33 11 -0.000764895 -0.00152086 -0.00152086
33 12 -0.000677635 -0.0013306 -0.0013306
33 13 -0.00148946 -0.00292857 -0.00292857
33 14 -0.000452661 -0.000895742 -0.000895742
33 15 -0.000973275 -0.00190955 -0.00190955
33 16 -0.000713036 -0.0013748 -0.0013748
33 17 -0.00142914 -0.00284753 -0.00284753
33 18 -0.0024513 -0.00486053 -0.00486053
33 19 -0.000262839 -0.000499759 -0.000499759
33 20 -0.000489292 -0.000974998 -0.000974998
33 21 -0.00199505 -0.00397612 -0.00397612
33 22 -0.000640901 -0.00124931 -0.00124931
33 23 -4.54454e-05 -9.31801e-05 -9.31801e-05
33 24 -0.00206539 -0.00409353 -0.00409353
33 25 -0.000318251 -0.000640935 -0.000640935
33 26 -0.00181229 -0.00363472 -0.00363472
33 27 -0.00378695 -0.00757366 -0.00757366
33 28 -0.00143891 -0.00287598 -0.00287598
33 29 0.000185371 0.00035705 0.00035705
33 30 0.000354266 0.000720638 0.000720638
33 31 -0.0015924 -0.00320227 -0.00320227
33 32 -0.00324958 -0.00651234 -0.00651234
33 33 0.0622417 0.112965 0.136002
33 34 -0.00270455 -0.00541932 -0.00541932
33 35 -0.00117083 -0.00235548 -0.00235548
33 36 0.000259504 0.000514285 0.000514285
33 37 -0.000522881 -0.0010502 -0.0010502
33 38 -0.00357492 -0.00716193 -0.00716193
33 39 -0.00454336 -0.00908605 -0.00908605
33 40 -0.00319361 -0.00639706 -0.00639706
33 41 -0.000412826 -0.000835208 -0.000835208
33 42 2.44548e-05 4.41561e-05 4.41561e-05
33 43 4.13438e-05 0.00010651 0.00010651
33 44 -0.00224501 -0.00449819 -0.00449819
33 45 -0.00212783 -0.00424827 -0.00424827
33 46 -0.00215906 -0.00431882 -0.00431882
33 47 0.000222308 0.000439672 0.000439672
33 48 0.000606972 0.00122513 0.00122513
33 49 -0.00167016 -0.00329363 -0.00329363
33 50 -0.000203977 -0.000407471 -0.000407471
33 51 -0.000373895 -0.000720238 -0.000720238
33 52 -0.000352563 -0.000684921 -0.000684921
33 53 -0.00117169 -0.0023398 -0.0023398
33 54 -0.00155847 -0.00308599 -0.00308599
33 55 -0.00134178 -0.00263946 -0.00263946
33 56 -0.00020535 -0.000406176 -0.000406176
33 57 -0.000493704 -0.000946715 -0.000946715
33 58 -0.000508063 -0.000968818 -0.000968818
33 59 -0.000836674 -0.00166695 -0.00166695
33 60 -0.00280999 -0.0055787 -0.0055787
33 61 -0.000212035 -0.00039961 -0.00039961
33 62 -0.000207565 -0.000413453 -0.000413453
33 63 -0.00109307 -0.00216088 -0.00216088
33 64 -0.000617776 -0.00119091 -0.00119091
33 65 5.91057e-05 0.000115512 0.000115512
33 66 -0.000839667 -0.00165119 -0.00165119
33 67 -3.41333e-05 -6.34302e-05 -6.34302e-05
33 68 -0.000411829 -0.000827445 -0.000827445
33 69 -0.000578267 -0.00115322 -0.00115322
33 70 -0.000670916 -0.00132886 -0.00132886
33 71 3.81242e-05 7.1077e-05 7.1077e-05
33 72 0.000121666 0.000250893 0.000250893
34 1 -0.000870322 -0.00171529 -0.00171529
34 2 -0.000177657 -0.000354198 -0.000354198
34 3 -0.000128032 -0.000240118 -0.000240118
34 4 -0.000146725 -0.000283085 -0.000283085
34 5 -0.00020324 -0.000401374 -0.000401374
34 6 -0.000171552 -0.000334098 -0.000334098
34 7 -0.00202327 -0.0039911 -0.0039911
34 8 -0.00088467 -0.00175843 -0.00175843
34 9 -0.00056191 -0.00108409 -0.00108409
34 10 -0.00067491 -0.00130703 -0.00130703
34 11 -0.000631398 -0.00124762 -0.00124762
34 12 -0.000777234 -0.00152188 -0.00152188
34 13 -0.0016672 -0.00327762 -0.00327762
34 14 -0.00119433 -0.00237072 -0.00237072
34 15 -0.00106211 -0.00208786 -0.00208786
34 16 -0.00158886 -0.00311876 -0.00311876
34 17 -0.00117058 -0.00232749 -0.00232749
34 18 -0.00100373 -0.00196465 -0.00196465
34 19 2.40449e-06 2.64651e-05 2.64651e-05
34 20 -0.00031131 -0.000614302 -0.000614302
34 21 -0.00158505 -0.00316431 -0.00316431
34 22 -0.00286255 -0.00568659 -0.00568659
34 23 -0.0019838 -0.00397362 -0.00397362
34 24 -0.000358079 -0.000690481 -0.000690481
34 25 0.000216966 0.000428393 0.000428393
34 26 0.000162325 0.000311468 0.000311468
34 27 -0.00196315 -0.00393853 -0.00393853
34 28 -0.00326819 -0.00652954 -0.00652954
34 29 -0.00251858 -0.00505172 -0.00505172
34 30 -0.000332258 -0.000671317 -0.000671317
34 31 0.000167075 0.000329639 0.000329639
34 32 -0.000674852 -0.001366 -0.001366
34 33 -0.00270455 -0.00541932 -0.00541932
34 34 0.059762 0.110808 0.12824
34 35 -0.00313225 -0.00627523 -0.00627523
34 36 -0.00123129 -0.00247988 -0.00247988
34 37 0.000696489 0.0014136 0.0014136
34 38 -0.000479523 -0.000966476 -0.000966476
34 39 -0.00266417 -0.00532786 -0.00532786
34 40 -0.00448048 -0.00895709 -0.00895709
34 41 -0.0026424 -0.00528991 -0.00528991
34 42 -0.000521925 -0.00104831 -0.00104831
34 43 -0.000845567 -0.0016465 -0.0016465
34 44 0.000161034 0.000325713 0.000325713
34 45 -0.000462687 -0.0009092 -0.0009092
34 46 -0.00282961 -0.00564269 -0.00564269
34 47 -0.000317551 -0.000634138 -0.000634138
34 48 0.000270198 0.0005627 0.0005627
34 49 -0.00264876 -0.00524368 -0.00524368
34 50 -0.000705761 -0.00140547 -0.00140547
34 51 -0.000148981 -0.000267315 -0.000267315
34 52 -0.000398612 -0.00076153 -0.00076153
34 53 -0.000111255 -0.000219681 -0.000219681
34 54 -0.00107568 -0.00211342 -0.00211342
34 55 -0.00140196 -0.00276381 -0.00276381
34 56 -0.000881849 -0.00176177 -0.00176177
34 57 -0.000272873 -0.000515356 -0.000515356
34 58 -0.000291404 -0.000532374 -0.000532374
34 59 -5.2287e-05 -0.00010575 -0.00010575
34 60 -0.00151117 -0.00299019 -0.00299019
34 61 -3.98136e-05 -6.48675e-05 -6.48675e-05
34 62 1.18011e-05 1.76548e-05 1.76548e-05
34 63 -0.000651089 -0.00129208 -0.00129208
34 64 -0.000733101 -0.00142764 -0.00142764
34 65 -0.000190896 -0.000392154 -0.000392154
34 66 -0.000282843 -0.000552421 -0.000552421
34 67 3.70525e-05 7.35898e-05 7.35898e-05
34 68 7.61064e-06 3.69125e-06 3.69125e-06
34 69 -0.000369357 -0.000741609 -0.000741609
34 70 -0.00084652 -0.00168612 -0.00168612
34 71 -0.000165741 -0.000339945 -0.000339945
34 72 3.44749e-05 6.49686e-05 6.49686e-05
35 1 -0.000101188 -0.000192582 -0.000192582
35 2 8.68417e-05 0.000172005 0.000172005
35 3 -4.51293e-05 -8.43862e-05 -8.43862e-05
35 4 -0.000266218 -0.000527461 -0.000527461
35 5 -0.000822784 -0.00164295 -0.00164295
35 6 -0.000270809 -0.000538217 -0.000538217
35 7 -0.000939157 -0.00185206 -0.00185206
35 8 -0.000560636 -0.0011188 -0.0011188
35 9 -0.000894529 -0.00176952 -0.00176952
35 10 -0.000645132 -0.00126909 -0.00126909
35 11 -0.000915077 -0.00182325 -0.00182325
35 12 -0.00062458 -0.0012348 -0.0012348
35 13 -0.00160398 -0.00317722 -0.00317722
35 14 -0.00243595 -0.00486159 -0.00486159
35 15 -0.00158534 -0.0031492 -0.0031492
35 16 -0.000685578 -0.00134126 -0.00134126
35 17 -0.000838595 -0.0016723 -0.0016723
35 18 -0.000602285 -0.00118479 -0.00118479
35 19 -0.000240486 -0.000466845 -0.000466845
35 20 -0.00204812 -0.00408837 -0.00408837
35 21 -0.000169689 -0.000332663 -0.000332663
35 22 -0.000682349 -0.00134444 -0.00134444
35 23 -0.00211231 -0.00422581 -0.00422581
35 24 -0.0006331 -0.00125231 -0.00125231
35 25 -4.89197e-05 -0.000104912 -0.000104912
35 26 0.000478923 0.000956044 0.000956044
35 27 0.000114109 0.000218815 0.000218815
35 28 -0.0018027 -0.003605 -0.003605
35 29 -0.00409552 -0.00819422 -0.00819422
35 30 -0.00192455 -0.00385141 -0.00385141
35 31 -0.00130896 -0.00263314 -0.00263314
35 32 0.00045156 0.000897681 0.000897681
35 33 -0.00117083 -0.00235548 -0.00235548
35 34 -0.00313225 -0.00627523 -0.00627523
35 35 0.0630696 0.116458 0.13582
35 36 -0.00330831 -0.0066283 -0.0066283
35 37 -0.000480383 -0.000968124 -0.000968124
35 38 5.74799e-05 0.000111487 0.000111487
35 39 -0.000443287 -0.000895174 -0.000895174
35 40 -0.00344848 -0.00690845 -0.00690845
35 41 -0.00467361 -0.00935018 -0.00935018
35 42 -0.00357805 -0.00716835 -0.00716835
35 43 3.60758e-05 8.13766e-05 8.13766e-05
35 44 0.000551732 0.00110152 0.00110152
35 45 9.31146e-05 0.000188206 0.000188206
35 46 -0.00231037 -0.00462389 -0.00462389
35 47 -0.00214551 -0.004295 -0.004295
35 48 -0.00234107 -0.00468661 -0.00468661
35 49 -0.00147747 -0.00292672 -0.00292672
35 50 -0.00131744 -0.00263265 -0.00263265
35 51 -0.00131803 -0.00261834 -0.00261834
35 52 -0.000396588 -0.000778394 -0.000778394
35 53 -0.000126089 -0.000249935 -0.000249935
35 54 -0.000349923 -0.000688771 -0.000688771
35 55 -0.00114335 -0.00225592 -0.00225592
35 56 -0.00229745 -0.00458648 -0.00458648
35 57 -0.000980538 -0.00193834 -0.00193834
35 58 -0.000448704 -0.000867132 -0.000867132
35 59 -0.000100232 -0.000195033 -0.000195033
35 60 -0.000352102 -0.000683454 -0.000683454
35 61 -0.00016125 -0.000304395 -0.000304395
35 62 -0.000456948 -0.000909565 -0.000909565
35 63 -7.3351e-05 -0.000134951 -0.000134951
35 64 -0.000483759 -0.000940537 -0.000940537
35 65 -0.00071724 -0.00143161 -0.00143161
35 66 -0.000352985 -0.000688999 -0.000688999
35 67 -3.63257e-05 -6.86754e-05 -6.86754e-05
35 68 0.000259781 0.000517634 0.000517634
35 69 -1.30618e-05 -2.47641e-05 -2.47641e-05
35 70 -0.000568991 -0.00112783 -0.00112783
35 71 -0.000446616 -0.000893965 -0.000893965
35 72 -0.000485488 -0.000964601 -0.000964601
36 1 -0.000150968 -0.000284331 -0.000284331
36 2 -0.000188957 -0.000377571 -0.000377571
36 3 -0.000931831 -0.00184748 -0.00184748
36 4 -0.000178161 -0.000345683 -0.000345683
36 5 -0.000264377 -0.000523893 -0.000523893
36 6 -0.000192144 -0.000378118 -0.000378118
36 7 -0.000628029 -0.0012138 -0.0012138
36 8 -0.00098059 -0.00195295 -0.00195295
36 9 -0.00222381 -0.00441078 -0.00441078
36 10 -0.000816215 -0.00159634 -0.00159634
36 11 -0.000734653 -0.00145766 -0.00145766
36 12 -0.000813096 -0.0015989 -0.0015989
36 13 -0.00115648 -0.00227454 -0.00227454
36 14 -0.001376 -0.00273836 -0.00273836
36 15 -0.00186859 -0.00369886 -0.00369886
36 16 -0.0010898 -0.00213364 -0.00213364
36 17 -0.00131924 -0.00262928 -0.00262928
36 18 -0.00177215 -0.00350582 -0.00350582
36 19 -0.00163676 -0.00326433 -0.00326433
36 20 -0.000372203 -0.00073923 -0.00073923
36 21 3.56907e-05 8.57023e-05 8.57023e-05
36 22 -0.000442122 -0.000856076 -0.000856076
36 23 -0.00223068 -0.00446843 -0.00446843
36 24 -0.00308235 -0.00614046 -0.00614046
36 25 -0.0019957 -0.0040019 -0.0040019
36 26 0.000374644 0.000736448 0.000736448
36 27 0.000433673 0.000861891 0.000861891
36 28 -0.000359822 -0.000724023 -0.000724023
36 29 -0.00281992 -0.00565418 -0.00565418
36 30 -0.0034766 -0.00695024 -0.00695024
36 31 -0.00267558 -0.00536208 -0.00536208
36 32 -0.000403915 -0.000823702 -0.000823702
36 33 0.000259504 0.000514285 0.000514285
36 34 -0.00123129 -0.00247988 -0.00247988
